,visit_num,tract_id,filter,field_name,image_mjd,field,ra,dec
93,410907,1,g,Blind15A_18,57070.1299702,18,09:41:14.352,-02:18:00.94
94,410908,0,g,Blind15A_19,57070.1312927,19,09:36:37.152,-04:18:02.81
95,410909,31,g,Blind15A_20,57070.1326339,20,09:41:14.352,-06:18:04.68
96,410910,32,g,Blind15A_21,57070.133993,21,09:50:28.752,-06:18:04.68
97,410911,29,g,Blind15A_22,57070.1353206,22,09:45:51.552,-04:18:02.81
98,410912,30,g,Blind15A_23,57070.136646,23,09:50:28.752,-02:18:00.94
99,410913,35,g,Blind15A_24,57070.1379766,24,09:49:33.312,-00:04:07.46
100,410914,36,g,Blind15A_25,57070.1393195,25,09:50:28.752,+02:09:46.01
101,410915,33,g,Blind15A_26,57070.1406759,26,10:00:28.800,+02:12:36.00
102,410916,34,g,Blind15A_27,57070.1420036,27,09:58:48.000,+00:09:00.00
