# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
136 294 0.0 0.0 256.000 443.405 27.021 0.0
1880 2073 0.0 0.0 -195.386 216.998 27.018 0.0
154 399 0.0 0.0 -239.549 266.046 27.017 0.0
1466 1240 0.0 0.0 -28.223 -268.521 27.000 0.0
1448 1270 0.0 0.0 -157.000 271.932 27.000 0.0
156 393 0.0 0.0 -283.711 315.093 26.993 0.0
1213 1176 0.0 0.0 -210.107 -233.347 26.992 0.0
1322 1219 0.0 0.0 -35.122 334.159 26.991 0.0
1458 1263 0.0 0.0 -313.153 347.792 26.982 0.0
1397 2685 0.0 0.0 -236.233 -171.633 26.982 0.0
1321 1212 0.0 0.0 -42.020 399.798 26.977 0.0
1875 2056 0.0 0.0 367.245 -163.508 26.977 0.0
1210 1175 0.0 0.0 -180.665 -200.649 26.973 0.0
1459 1262 0.0 0.0 -327.874 364.141 26.966 0.0
1867 2090 0.0 0.0 -28.223 268.521 26.960 0.0
1453 1267 0.0 0.0 -283.711 315.093 26.960 0.0
1190 2879 0.0 0.0 264.100 -56.136 26.956 0.0
1869 2092 0.0 0.0 131.023 -403.248 26.955 0.0
1873 2080 0.0 0.0 83.435 -256.785 26.954 0.0
1433 1171 0.0 0.0 195.386 216.998 26.945 0.0
148 403 0.0 0.0 -180.665 200.649 26.945 0.0
170 361 0.0 0.0 -103.830 -319.555 26.944 0.0
1866 2089 0.0 0.0 -28.223 268.521 26.944 0.0
1871 2086 0.0 0.0 110.628 -340.478 26.933 0.0
1454 1266 0.0 0.0 -298.432 331.443 26.932 0.0
1187 2881 0.0 0.0 285.619 -60.710 26.930 0.0
493 2391 0.0 0.0 -407.441 -181.404 26.927 0.0
139 300 0.0 0.0 157.000 271.932 26.924 0.0
1879 2076 0.0 0.0 -180.665 200.649 26.917 0.0
1229 1183 0.0 0.0 -264.100 -56.136 26.910 0.0
1872 2119 0.0 0.0 -90.233 -277.708 26.905 0.0
1470 1249 0.0 0.0 -83.435 -256.785 26.905 0.0
1461 1259 0.0 0.0 -357.316 396.839 26.896 0.0
140 300 0.0 0.0 157.000 271.932 26.894 0.0
1868 2087 0.0 0.0 103.830 -319.555 26.893 0.0
1221 1187 0.0 0.0 -268.991 -298.744 26.891 0.0
159 383 0.0 0.0 -289.000 500.563 26.889 0.0
153 396 0.0 0.0 -201.000 348.142 26.889 0.0
972 730 0.0 0.0 -146.000 252.879 26.886 0.0
141 303 0.0 0.0 146.000 252.879 26.876 0.0
1880 2060 0.0 0.0 289.628 -210.427 26.873 0.0
1456 1265 0.0 0.0 -313.153 347.792 26.857 0.0
140 303 0.0 0.0 180.665 200.649 26.856 0.0
1398 1340 0.0 0.0 -32.822 312.280 26.855 0.0
1871 2117 0.0 0.0 -83.435 -256.785 26.853 0.0
1867 2088 0.0 0.0 -30.522 290.400 26.846 0.0
1432 1170 0.0 0.0 210.107 233.347 26.841 0.0
1454 1268 0.0 0.0 -283.711 315.093 26.832 0.0
159 392 0.0 0.0 -298.432 331.443 26.832 0.0
1182 2868 0.0 0.0 -270.000 0.000 26.830 0.0
1184 2880 0.0 0.0 307.138 -65.284 26.830 0.0
137 297 0.0 0.0 245.000 424.352 26.829 0.0
968 739 0.0 0.0 -103.830 -319.555 26.816 0.0
1399 1341 0.0 0.0 -28.223 268.521 26.811 0.0
1434 1172 0.0 0.0 195.386 216.998 26.810 0.0
1458 1260 0.0 0.0 -342.595 380.490 26.810 0.0
1876 2056 0.0 0.0 367.245 -163.508 26.807 0.0
154 393 0.0 0.0 -201.000 348.142 26.804 0.0
1880 2075 0.0 0.0 -180.665 200.649 26.798 0.0
1868 2098 0.0 0.0 158.217 -486.941 26.798 0.0
1218 2858 0.0 0.0 -224.828 249.697 26.794 0.0
280 617 0.0 0.0 -246.657 -109.819 26.793 0.0
1874 2081 0.0 0.0 97.031 -298.632 26.792 0.0
1217 2859 0.0 0.0 -210.107 233.348 26.791 0.0
1873 2083 0.0 0.0 110.628 -340.478 26.789 0.0
1212 1176 0.0 0.0 -195.386 -216.998 26.781 0.0
154 389 0.0 0.0 -212.000 367.195 26.775 0.0
1436 1174 0.0 0.0 195.386 216.998 26.774 0.0
144 305 0.0 0.0 190.000 329.090 26.769 0.0
1185 2882 0.0 0.0 307.138 -65.284 26.767 0.0
1224 2842 0.0 0.0 -90.233 277.708 26.766 0.0
1880 2062 0.0 0.0 325.225 -236.290 26.765 0.0
1877 2082 0.0 0.0 28.223 -268.521 26.763 0.0
1417 1165 0.0 0.0 307.426 223.358 26.759 0.0
158 383 0.0 0.0 -289.000 500.563 26.752 0.0
1561 650 0.0 0.0 -135.000 -233.827 26.746 0.0
1869 2094 0.0 0.0 131.023 -403.248 26.743 0.0
951 3666 0.0 0.0 246.657 109.819 26.738 0.0
154 392 0.0 0.0 -201.000 348.142 26.737 0.0
323 2907 0.0 0.0 28.223 -268.521 26.735 0.0
1880 2061 0.0 0.0 271.830 -197.496 26.733 0.0
138 301 0.0 0.0 195.386 216.998 26.728 0.0
