# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
122 327 0.0 0.0 209.112 178.598 144.961 0.0
117 328 0.0 0.0 238.660 173.397 144.961 0.0
123 328 0.0 0.0 201.508 172.104 144.961 0.0
118 329 0.0 0.0 234.615 170.458 144.961 0.0
124 329 0.0 0.0 197.706 168.856 144.961 0.0
112 330 0.0 0.0 268.582 164.587 144.961 0.0
119 330 0.0 0.0 226.525 164.580 144.961 0.0
125 330 0.0 0.0 190.101 162.362 144.961 0.0
115 331 0.0 0.0 251.529 154.137 144.961 0.0
121 331 0.0 0.0 214.390 155.763 144.961 0.0
116 332 0.0 0.0 247.266 151.525 144.961 0.0
123 332 0.0 0.0 202.254 146.946 144.961 0.0
117 333 0.0 0.0 238.739 146.300 144.961 0.0
112 334 0.0 0.0 271.757 138.467 144.961 0.0
119 334 0.0 0.0 225.950 138.462 144.961 0.0
113 335 0.0 0.0 262.847 133.927 144.961 0.0
121 335 0.0 0.0 217.423 133.237 144.961 0.0
116 336 0.0 0.0 245.027 124.847 144.961 0.0
118 337 0.0 0.0 236.117 120.307 144.961 0.0
119 338 0.0 0.0 227.207 115.768 144.961 0.0
113 339 0.0 0.0 263.306 109.065 144.961 0.0
116 340 0.0 0.0 244.828 101.411 144.961 0.0
118 341 0.0 0.0 235.589 97.584 144.961 0.0
114 343 0.0 0.0 256.785 83.435 144.961 0.0
115 347 0.0 0.0 252.816 60.696 144.961 0.0
113 350 0.0 0.0 266.676 42.237 144.961 0.0
113 362 0.0 0.0 266.676 -42.237 144.961 0.0
113 364 0.0 0.0 271.614 -43.020 144.961 0.0
115 365 0.0 0.0 252.816 -60.696 144.961 0.0
115 367 0.0 0.0 257.678 -61.863 144.961 0.0
114 369 0.0 0.0 256.785 -83.435 144.961 0.0
117 370 0.0 0.0 247.275 -80.345 144.961 0.0
114 371 0.0 0.0 266.296 -86.525 144.961 0.0
118 371 0.0 0.0 235.589 -97.584 144.961 0.0
116 372 0.0 0.0 244.828 -101.411 144.961 0.0
113 373 0.0 0.0 263.306 -109.065 144.961 0.0
116 374 0.0 0.0 254.067 -105.238 144.961 0.0
119 374 0.0 0.0 227.207 -115.768 144.961 0.0
114 375 0.0 0.0 267.925 -110.978 144.961 0.0
118 375 0.0 0.0 236.117 -120.308 144.961 0.0
116 376 0.0 0.0 245.027 -124.848 144.961 0.0
113 377 0.0 0.0 262.847 -133.927 144.961 0.0
118 377 0.0 0.0 240.572 -122.578 144.961 0.0
121 377 0.0 0.0 217.423 -133.237 144.961 0.0
